borough,cuisine,grades,name,restaurant_id,building,street,zipcode
Brooklyn,Chinese,5.5,China King,41617970,6805,New Utrecht Ave,11219.0
Manhattan,Vegetarian,8.333333333333334,Gingersnap'S Organic,41617988,130,East    7 Street,10009.0
Manhattan,American ,11.6,Stone Street Coffee Company,41618158,132,9 Avenue,10011.0
Bronx,Pizza,6.333333333333333,Pizzazzz Pizzeria Ii,41618169,1292,Westchester Avenue,10459.0
Bronx,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9.166666666666666,Reina Restaurant,41618185,3800,East Tremont Avenue,10465.0
Manhattan,Italian,11.0,Morso,41618219,420,East   59 Street,10022.0
Manhattan,American ,7.25,Five Guys Burgers & Fries,41618228,343,7 Avenue,10001.0
Bronx,Japanese,18.6,Umai Japanese Restaurant,41618259,2330,Arthur Avenue,10458.0
Queens,Chinese,18.833333333333332,Kissena Cafe,41618266,6004,Kissena Boulevard,11355.0
Manhattan,American ,7.0,Phoenix,41618267,447,East   13 Street,10009.0
Staten Island,American ,6.5,Subway,41618299,1204,Victory Boulevard,10301.0
Brooklyn,Italian,11.2,Giacomo'S Wood Fired Pizza,41618303,7902,Third Avenue,11209.0
Bronx,Caribbean,10.25,Country Boyz Jerk Yard Restaurant,41618312,1182,East Gunhill Road,10469.0
Manhattan,Hotdogs,0.0,Hot Dog Concession,41618345,4,Pennsylvania Plaza,10001.0
Manhattan,American ,3.6666666666666665,Press Room,41618351,4,Pennsylvania Plaza,10001.0
Manhattan,American ,3.0,Events Level Club,41618355,4,Pennsylvania Plaza,10001.0
Manhattan,American ,0.0,The Green Room,41618358,4,Pennsylvania Plaza,10001.0
Manhattan,American ,3.6666666666666665,"Suite 200, 1879",41618361,4,Pennsylvania Plaza,10001.0
Manhattan,Hotdogs/Pretzels,1.6666666666666667,Hot Dog Concession,41618364,4,Pennsylvania Plaza,10001.0
Manhattan,Hotdogs/Pretzels,0.0,Hot Dog Concession,41618368,4,Pennsylvania Plaza,10001.0
Manhattan,Hotdogs/Pretzels,1.6666666666666667,Hot Dog Concession,41618372,4,Pennsylvania Plaza,10001.0
Manhattan,Hotdogs/Pretzels,1.3333333333333333,Hot Dog Concession,41618374,4,Pennsylvania Plaza,10001.0
Manhattan,American ,1.3333333333333333,Hot Dog Concession A803-1,41618377,4,Pennsylvania Plaza,10001.0
Manhattan,Hotdogs,2.3333333333333335,Hot Dog Concession,41618380,4,Pennsylvania Plaza,10001.0
Manhattan,Pizza,2.3333333333333335,Pizzeria Dell' Orto,41618382,4,Pennsylvania Plaza,10001.0
Manhattan,Hotdogs/Pretzels,0.6666666666666666,Bridge Pub,41618384,4,Pennsylvania Plaza,10001.0
Manhattan,American ,0.6666666666666666,Hill Country,41618385,4,Pennsylvania Plaza,10001.0
Manhattan,American ,0.0,Bar,41618387,4,Pennsylvania Plaza,10001.0
Queens,Donuts,6.25,Dunkin Donuts,41618388,49-02,Vernon Boulevard,11101.0
